ID,ItemID_1,Rate_1,ItemID_2,Rate_2,ItemID_3,Rate_3,ItemID_4,Rate_4,ItemID_5,Rate_5,Note
DT_BOSS,BoostApex,1.0,None,0,None,0,None,0,None,0,ボス敵ドロップ
DT_Debri001,IT_Money01,0.4,IT_Money02,0.3,IT_Money03,0.1,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_Debri002,IT_Money01,0.4,IT_Money02,0.4,IT_Money03,0.1,ItemPowerUp,0.05,ItemRapidFire,0.05,デブリドロップ
DT_Debri003,IT_Money01,0.3,IT_Money02,0.4,IT_Money03,0.2,ItemPowerUp,0.05,ItemRapidFire,0.05,デブリドロップ
DT_Debri004,IT_Money01,0.3,IT_Money02,0.3,IT_Money03,0.3,ItemPowerUp,0.05,ItemRapidFire,0.05,デブリドロップ
DT_Debri005,IT_Money02,0.4,IT_Money03,0.3,IT_Money04,0.1,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_Debri006,IT_Money02,0.3,IT_Money03,0.3,IT_Money04,0.2,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_Debri007,IT_Money02,0.25,IT_Money03,0.3,IT_Money04,0.25,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_Debri008,IT_Money03,0.4,IT_Money04,0.3,IT_Money05,0.1,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_Debri009,IT_Money04,0.4,IT_Money05,0.3,IT_Money06,0.1,ItemPowerUp,0.1,ItemRapidFire,0.1,デブリドロップ
DT_ENE001,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP01,0.1,IT_RapidFire01,0.1,IT_Parts01,0.1,ENE001
DT_ENE002,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP01,0.1,IT_Repair01,0.1,IT_Parts01,0.1,ENE002
DT_ENE003,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP01,0.1,IT_RapidFire01,0.1,IT_Parts01,0.1,ENE003
DT_ENE004,IT_Money01,0.35,IT_Money02,0.35,IT_RapidFire01,0.1,IT_Repair01,0.1,IT_Parts01,0.1,ENE004
DT_ENE005,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP01,0.1,IT_RapidFire01,0.1,IT_Parts02,0.1,ENE005
DT_ENE006,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP02,0.1,IT_Repair02,0.1,IT_Parts02,0.1,ENE006
DT_ENE007,IT_Money01,0.35,IT_Money02,0.35,IT_PowerUP02,0.1,IT_RapidFire02,0.1,IT_Parts02,0.1,ENE007
DT_ENE008,IT_Money01,0.35,IT_Money02,0.35,IT_RapidFire02,0.1,IT_Repair02,0.1,IT_Parts02,0.1,ENE008
DT_ENE009,IT_Money05,0.35,IT_Money06,0.35,IT_PowerUP02,0.1,IT_PowerUP02,0.1,IT_Parts02,0.1,ENE009
