ID,Name,PrefabName,HP,Defense,Score,BehaviorID,SpeedMult,Scale,ShotPatternID,DropTableID,Note
A001,A001,ENE001,10,0,20,Enemy009,1,2,Empty,DT_ZAKO,TEST
A002,A002,ENE001,10,0,2,Enemy001,1,1,Empty,DT_ZAKO,
DEB001,Deburi001,DEB001,10,0,20,DebriMove01,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB002,Deburi002,DEB002,9,1,20,DebriMove01,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB003,Deburi003,DEB003,12,2,20,DebriMove01,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB004,Deburi004,DEB004,8,2,20,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB005,Deburi005,DEB005,15,2,30,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB006,Deburi006,DEB006,10,0,30,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB007,Deburi007,DEB007,10,0,30,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB008,Deburi008,DEB008,10,0,30,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
DEB009,Deburi009,DEB009,10,0,30,DebriMove02,1,1,SP_NORMAL,DT_Debri001,デブリ
ENE001,Zako001,ENE001,15,0,50,Enemy001,1,1,SP_NORMAL,DT_POWER,PowerUp Carrier
ENE002,Zako002,ENE002,15,0,50,Enemy002,1,1,SP_AIM,DT_RAPID,RapidFire Carrier
ENE003,Zako003,ENE003,30,0,55,Enemy003,1,1,SP_AIM,DT_ZAKO,
ENE004,Zako004,ENE004,30,0,60,Enemy004,1,1,SP_BOSS_1,DT_ZAKO,
ENE005,Zako005,ENE005,30,0,60,Enemy005,1,1,SP_BOSS_1,DT_ZAKO,
ENE006,Zako006,ENE006,30,0,60,Enemy006,1,1,SP_BOSS_1,DT_ZAKO,
