ID,Label,Description,ConditionType,ConditionParam,RewardCredits,RewardItemID_1,RewardItemQty_1,RewardItemID_2,RewardItemQty_2,RewardItemID_3,RewardItemQty_3,Note
AC_FirstClear,FirstMissionClear,初めてミッションをクリアした,MissionClearCount,1,1000,,,,,,,
AC_MissionLv01FullClear,MissionLv01AllSubLvClear,MissionLv01の全てのSubクリアをクリアした,Lv01AllSubMissionClearCount,1,10000,PT_ArmorLv01,10,PT_CyberLv01,10,PT_EngineLv01,10,
AC_MissionLv02FullClear,MissionLv02AllSubLvClear,MissionLv02の全てのSubクリアをクリアした,Lv02AllSubMissionClearCount,1,20000,PT_ArmorLv02,10,PT_CyberLv02,10,PT_EngineLv02,10,
AC_MissionLv03FullClear,MissionLv03AllSubLvClear,MissionLv03の全てのSubクリアをクリアした,Lv03AllSubMissionClearCount,1,35000,PT_ArmorLv03,10,PT_CyberLv03,10,PT_EngineLv03,10,
AC_MissionLv04FullClear,MissionLv04AllSubLvClear,MissionLv04の全てのSubクリアをクリアした,Lv04AllSubMissionClearCount,1,50000,PT_ArmorLv04,10,PT_CyberLv04,10,PT_EngineLv04,10,
AC_MissionLv05FullClear,MissionLv05AllSubLvClear,MissionLv05の全てのSubクリアをクリアした,Lv05AllSubMissionClearCount,1,75000,PT_ArmorLv05,10,PT_CyberLv05,10,PT_EngineLv05,10,
AC_MissionLv06FullClear,MissionLv06AllSubLvClear,MissionLv06の全てのSubクリアをクリアした,Lv06AllSubMissionClearCount,1,100000,PT_ArmorLv06,10,PT_CyberLv06,10,PT_EngineLv06,10,
AC_MissionLv07FullClear,MissionLv07AllSubLvClear,MissionLv07の全てのSubクリアをクリアした,Lv07AllSubMissionClearCount,1,150000,PT_ArmorLv07,10,PT_CyberLv07,10,PT_EngineLv07,10,
AC_MissionLv08FullClear,MissionLv08AllSubLvClear,MissionLv08の全てのSubクリアをクリアした,Lv08AllSubMissionClearCount,1,200000,PT_ArmorLv08,10,PT_CyberLv08,10,PT_EngineLv08,10,
AC_MissionLv09FullClear,MissionLv09AllSubLvClear,MissionLv09の全てのSubクリアをクリアした,Lv09AllSubMissionClearCount,1,250000,PT_ArmorLv09,10,PT_CyberLv09,10,PT_EngineLv09,10,
AC_MissionLv10FullClear,MissionLv10AllSubLvClear,MissionLv10の全てのSubクリアをクリアした,Lv10AllSubMissionClearCount,1,300000,PT_ArmorLv10,10,PT_CyberLv10,10,PT_EngineLv10,10,
AC_MissionLvComplete,MissionComplete,Subミッション含め全てのミッションをクリアした,MissionClearComplete,1,0,Mat_EngineCoreLv05,50,,,,,
AC_FirstAllKills,FirstAllKills,初めて全ての敵を撃破してクリアした,AllKillsClearCount,1,1500,,,,,,,
AC_010MissionsAllKills,010MissionsAllKills,全敵撃破してクリアしたミッション数が10に到達,AllKillsClearCount,10,5000,PT_ArmorLv02,5,,,,,
AC_030MissionsAllKills,030MissionsAllKills,全敵撃破してクリアしたミッション数が30に到達,AllKillsClearCount,30,25000,PT_CyberLv04,20,PT_EngineLv04,20,,,
AC_050MissionsAllKills,050MissionsAllKills,全敵撃破してクリアしたミッション数が50に到達,AllKillsClearCount,50,100000,PT_ArmorLv07,30,PT_CyberLv07,30,PT_EngineLv07,30,
AC_100MissionsAllKills,100MissionsAllKills,全敵撃破してクリアしたミッション数が100に到達,AllKillsClearCount,100,250000,PT_CyberLv09,30,,,,,
AC_200MissionsAllKills,200MissionsAllKills,全敵撃破してクリアしたミッション数が200に到達,AllKillsClearCount,200,500000,Mat_EngineCoreLv05,50,,,,,
AC_FirstNoDamage,FirstNoDamage,初めて被弾せずクリアした,NoDamageClearCount,1,1000,,,,,,,
AC_010MissionsNoDMG,010MissionsNoDMG,被弾0でクリアしたミッション数が10に到達,NoDamageClearCount,10,5000,PT_EngineLv02,5,,,,,
AC_030MissionsNoDMG,030MissionsNoDMG,被弾0でクリアしたミッション数が30に到達,NoDamageClearCount,30,25000,PT_CyberLv05,15,PT_EngineLv05,15,,,
AC_050MissionsNoDMG,050MissionsNoDMG,被弾0でクリアしたミッション数が50に到達,NoDamageClearCount,50,100000,PT_ArmorLv08,20,PT_CyberLv08,20,PT_EngineLv08,20,
AC_100MissionsNoDMG,100MissionsNoDMG,被弾0でクリアしたミッション数が100に到達,NoDamageClearCount,100,250000,PT_CyberLv10,30,PT_EngineLv10,30,,,
AC_200MissionsNoDMG,200MissionsNoDMG,被弾0でクリアしたミッション数が200に到達,NoDamageClearCount,200,500000,Mat_EngineCoreLv05,50,,,,,
AC_TotalDamage1000,TotalDamage1000,累計与ダメージが1000以上に到達,DamageTotalCount,1000,3000,PT_BeamPartsLv02,10,,,,,
AC_TotalDamage5000,TotalDamage5000,累計与ダメージが5000以上に到達,DamageTotalCount,5000,12000,PT_MissilePartsLv02,10,,,,,
AC_TotalDamage10000,TotalDamage10000,累計与ダメージが10000以上に到達,DamageTotalCount,10000,25000,PT_LaserPartsLv02,10,,,,,
AC_TotalDamage50000,TotalDamage50000,累計与ダメージが50000以上に到達,DamageTotalCount,50000,80000,PT_RingBladePartsLv02,10,,,,,
AC_TotalDamage100000,TotalDamage100000,累計与ダメージが100000以上に到達,DamageTotalCount,100000,150000,PT_BeamPartsLv04,10,,,,,
AC_TotalDamage200000,TotalDamage200000,累計与ダメージが200000以上に到達,DamageTotalCount,200000,250000,PT_BeamPartsLv05,20,PT_MissilePartsLv05,20,PT_LaserPartsLv05,20,
AC_TotalDamageTaken100,TotalDamageTaken100,累計被ダメージが100以上に到達,DamageTakenTotalCount,100,2000,PT_ArmorLv02,20,,,,,
AC_TotalDamageTaken500,TotalDamageTaken500,累計被ダメージが500以上に到達,DamageTakenTotalCount,500,10000,PT_ArmorLv05,30,,,,,
AC_TotalDamageTaken1000,TotalDamageTaken1000,累計被ダメージが1000以上に到達,DamageTakenTotalCount,1000,30000,PT_ArmorLv08,30,,,,,
AC_TotalDamageTaken2000,TotalDamageTaken2000,累計被ダメージが2000以上に到達,DamageTakenTotalCount,2000,120000,Mat_EngineCoreLv04,40,,,,,
AC_TotalDamageTaken5000,TotalDamageTaken5000,累計被ダメージが5000以上に到達,DamageTakenTotalCount,5000,200000,,,,,,,
AC_FirstVehicleUpgrade,FirstVehicleUpgrade,初めて機体をアップグレードした,VehicleUpgradeCount,1,1500,,,,,,,
AC_010timesVehicleUpgrade,010timesVehicleUpgrade,累計10回機体をアップグレードした,VehicleUpgradeCount,10,10000,,,,,,,
AC_030timesVehicleUpgrade,030timesVehicleUpgrade,累計30回機体をアップグレードした,VehicleUpgradeCount,30,50000,,,,,,,
AC_050timesVehicleUpgrade,050timesVehicleUpgrade,累計50回機体をアップグレードした,VehicleUpgradeCount,50,135000,,,,,,,
AC_100timesVehicleUpgrade,100timesVehicleUpgrade,累計100回機体をアップグレードした,VehicleUpgradeCount,100,250000,Mat_EngineCoreLv03,25,,,,,
AC_300timesVehicleUpgrade,300timesVehicleUpgrade,累計300回機体をアップグレードした,VehicleUpgradeCount,300,750000,,,,,,,
AC_FirstEquipPurchase,FirstEquipPurchase,初めて装備を購入した,EquipmentPurchaseCount,1,1000,,,,,,,
AC_10EquipPurchase,10EquipPurchase,装備を10種類購入した,EquipmentPurchaseCount,10,35000,,,,,,,
AC_50EquipPurchase,50EquipPurchase,装備を50種類購入した,EquipmentPurchaseCount,50,100000,,,,,,,
AC_AllEquipPurchase,AllEquipPurchase,全ての装備を購入した,EquipmentPurchaseComplete,1,,Mat_EngineCoreLv05,50,,,,,
AC_FirstCustomize,FirstCustomize,初めて装備を改造した,CustomizeCount,1,1000,,,,,,,
AC_10timesCustomize,10timesCustomize,累計10回装備を改造した,CustomizeCount,10,5000,,,,,,,
AC_50timesCustomize,50timesCustomize,累計50回装備を改造した,CustomizeCount,50,40000,,,,,,,
AC_100timesCustomize,100timesCustomize,累計100回装備を改造した,CustomizeCount,100,120000,,,,,,,
AC_200timesCustomize,200timesCustomize,累計200回装備を改造した,CustomizeCount,200,300000,,,,,,,
AC_500timesCustomize,500timesCustomize,累計500回装備を改造した,CustomizeCount,500,1000000,,,,,,,
AC_FirstVehicleCreate,FirstVehicleCreate,初めて新機体を開発した,FirstVehicleCreate,1,100000,Mat_EngineCoreLv02,30,,,,,
AC_ArchievementsComplete,ArchievementsComplete,全ての実績を解放した,ArchievementsComplete,1,0,Mat_EngineCoreLv05,100,,,,,
AC_FirstRarePartsGet,FirstRarePartsGet,初めてレア装備パーツを取得した,FirstRarePartsGet,1,50000,,,,,,,
