ID,Name,GroupID,Weight,StarValue,CreditValue,Lv0,Lv1,Lv2,Lv3,Lv4,Lv5,RequiredItemID,ReqQty_Lv0,ReqQty_Lv1,ReqQty_Lv2,ReqQty_Lv3,ReqQty_Lv4,ReqQty_Lv5,Note,FormulaNote
EQ061_BuffAmpDeviceS,BuffAmpDeviceS,1,30,1,2500,10,11,12,13,14,15,PT_CyberLv01,5,8,12,14,16,20,ミッション中に取得するバフアイテムの効果量を増幅する,元の数値にLv%分加える
EQ062_BuffAmpDeviceM,BuffAmpDeviceM,1,50,3,7500,15,16,17,18,19,20,PT_CyberLv03,7,12,16,20,22,25,ミッション中に取得するバフアイテムの効果量を増幅する,元の数値にLv%分加える
EQ063_BuffAmpDeviceL,BuffAmpDeviceL,1,80,4,10000,20,22,24,26,28,30,PT_CyberLv05,10,15,20,23,27,30,ミッション中に取得するバフアイテムの効果量を増幅する,元の数値にLv%分加える
EQ064_HealAmpDeviceS,HealAmpDeviceS,2,40,2,5000,10,11,12,13,14,15,PT_CyberLv02,5,8,12,14,16,20,ミッション中に取得する回復アイテムの効果量を増幅する,元の数値にLv%分加える
EQ065_HealAmpDeviceM,HealAmpDeviceM,2,55,3,7500,15,16,17,18,19,20,PT_CyberLv04,7,12,16,20,22,25,ミッション中に取得する回復アイテムの効果量を増幅する,元の数値にLv%分加える
EQ066_HealAmpDeviceL,HealAmpDeviceL,2,85,4,10000,20,22,24,26,28,30,PT_CyberLv06,10,15,20,23,27,30,ミッション中に取得する回復アイテムの効果量を増幅する,元の数値にLv%分加える
EQ067_ArmorPlateS,ArmorPlateS,3,50,2,5000,10,11,12,13,14,15,PT_ArmorLv01,5,10,15,20,25,30,装備で最大HPに倍率を掛ける,元の数値にLv%分加える
EQ068_ArmorPlateM,ArmorPlateM,3,80,4,10000,15,16,17,18,19,20,PT_ArmorLv04,7,12,16,20,22,25,装備で最大HPに倍率を掛ける,元の数値にLv%分加える
EQ069_ArmorPlateL,ArmorPlateL,3,100,5,12500,20,22,24,26,28,30,PT_ArmorLv06,10,15,20,23,27,30,装備で最大HPに倍率を掛ける,元の数値にLv%分加える
EQ070_SpeedBrekerS,SpeedBrekerS,4,60,2,5000,5,6,7,8,9,10,PT_EngineLv02,5,8,12,14,16,20,装備で最高速度(SP)に倍率を掛ける,元の数値にLv%分加える
EQ071_SpeedBrekerM,SpeedBrekerM,4,85,4,10000,7.5,9,11,12.5,14,15,PT_EngineLv05,7,12,16,20,22,25,装備で最高速度(SP)に倍率を掛ける,元の数値にLv%分加える
EQ072_SpeedBrekerL,SpeedBrekerL,4,110,5,12500,10,12,14,16,18,20,PT_EngineLv07,10,15,20,23,27,30,装備で最高速度(SP)に倍率を掛ける,元の数値にLv%分加える
EQ073_AcceleratorS,AcceleratorS,5,60,2,5000,5,6,7,8,9,10,PT_EngineLv03,5,8,12,14,16,20,装備で加速度(AC)に倍率を掛ける,元の数値にLv%分加える
EQ074_AcceleratorM,AcceleratorM,5,85,4,10000,7.5,9,11,12.5,14,15,PT_EngineLv06,7,12,16,20,22,25,装備で加速度(AC)に倍率を掛ける,元の数値にLv%分加える
