ID,ItemID_1,Rate_1,ItemID_2,Rate_2,ItemID_3,Rate_3,ItemID_4,Rate_4,ItemID_5,Rate_5,Note
DT_Debri001,IT_Money01,0.3,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_EngineLv01,0.1,,,
DT_Debri002,IT_Money02,0.3,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_EngineLv02,0.1,,,
DT_Debri003,IT_Money03,0.3,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_EngineLv03,0.1,,,
DT_Debri004,IT_Money04,0.3,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_EngineLv04,0.1,,,
DT_Debri005,IT_Money05,0.3,PT_ArmorLv05,0.1,PT_CyberLv05,0.1,PT_EngineLv05,0.1,,,
DT_Debri006,IT_Money06,0.3,PT_ArmorLv06,0.1,PT_CyberLv06,0.1,PT_EngineLv06,0.1,Mat_EngineCoreLv01,0.03,
DT_Debri007,IT_Money07,0.3,PT_ArmorLv07,0.1,PT_CyberLv07,0.1,PT_EngineLv07,0.1,Mat_EngineCoreLv02,0.03,
DT_Debri008,IT_Money08,0.3,PT_ArmorLv08,0.1,PT_CyberLv08,0.1,PT_EngineLv08,0.1,Mat_EngineCoreLv03,0.03,
DT_Debri009,IT_Money09,0.3,PT_ArmorLv09,0.1,PT_CyberLv09,0.1,PT_EngineLv09,0.1,Mat_EngineCoreLv04,0.03,
DT_Debri010,IT_Money10,0.3,PT_ArmorLv10,0.1,PT_CyberLv10,0.1,PT_EngineLv10,0.1,Mat_EngineCoreLv05,0.03,
DT_ENE001,IT_Money01,0.25,IT_PowerUP01,0.2,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE002,IT_Money01,0.25,IT_RapidFire01,0.2,PT_ArmorLv01,0.1,PT_EngineLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE003,IT_Money01,0.25,IT_Repair01,0.2,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE004,IT_Money01,0.25,IT_PowerUP01,0.2,PT_ArmorLv01,0.1,PT_EngineLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE005,IT_Money01,0.25,IT_RapidFire01,0.2,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE006,IT_Money01,0.25,IT_Repair01,0.2,PT_ArmorLv01,0.1,PT_EngineLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE007,IT_Money01,0.25,IT_PowerUP01,0.2,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE008,IT_Money01,0.25,IT_RapidFire01,0.2,PT_ArmorLv01,0.1,PT_EngineLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE009,IT_Money01,0.25,IT_Repair01,0.2,PT_ArmorLv01,0.1,PT_CyberLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE010,IT_Money01,0.25,IT_Repair01,0.2,PT_ArmorLv01,0.1,PT_EngineLv01,0.1,PT_BeamPartsLv01,0.1,
DT_ENE011,IT_Money02,0.25,IT_PowerUP01,0.2,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE012,IT_Money02,0.25,IT_RapidFire01,0.2,PT_ArmorLv02,0.1,PT_EngineLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE013,IT_Money02,0.25,IT_Repair01,0.2,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE014,IT_Money02,0.25,IT_PowerUP01,0.2,PT_ArmorLv02,0.1,PT_EngineLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE015,IT_Money02,0.25,IT_RapidFire01,0.2,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE016,IT_Money02,0.25,IT_Repair01,0.2,PT_ArmorLv02,0.1,PT_EngineLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE017,IT_Money02,0.25,IT_PowerUP01,0.2,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE018,IT_Money02,0.25,IT_RapidFire01,0.2,PT_ArmorLv02,0.1,PT_EngineLv02,0.1,PT_MissilePartsLv01,0.1,
DT_ENE019,IT_Money02,0.25,IT_Repair01,0.2,PT_ArmorLv02,0.1,PT_CyberLv02,0.1,PT_ShockwavePartsLv01,0.1,
DT_ENE020,IT_Money02,0.25,IT_Repair01,0.2,PT_ArmorLv02,0.1,PT_EngineLv02,0.1,PT_RingBladePartsLv01,0.1,
DT_ENE021,IT_Money03,0.25,IT_PowerUP02,0.2,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE022,IT_Money03,0.25,IT_RapidFire02,0.2,PT_ArmorLv03,0.1,PT_EngineLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE023,IT_Money03,0.25,IT_Repair02,0.2,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE024,IT_Money03,0.25,IT_PowerUP02,0.2,PT_ArmorLv03,0.1,PT_EngineLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE025,IT_Money03,0.25,IT_RapidFire02,0.2,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE026,IT_Money03,0.25,IT_Repair02,0.2,PT_ArmorLv03,0.1,PT_EngineLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE027,IT_Money03,0.25,IT_PowerUP02,0.2,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE028,IT_Money03,0.25,IT_RapidFire02,0.2,PT_ArmorLv03,0.1,PT_EngineLv03,0.1,PT_BeamPartsLv02,0.1,
DT_ENE029,IT_Money03,0.25,IT_Repair02,0.2,PT_ArmorLv03,0.1,PT_CyberLv03,0.1,PT_ShockwavePartsLv01,0.1,
DT_ENE030,IT_Money03,0.25,IT_Repair02,0.2,PT_ArmorLv03,0.1,PT_EngineLv03,0.1,PT_RingBladePartsLv01,0.1,
DT_ENE031,IT_Money04,0.25,IT_PowerUP02,0.2,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_BeamPartsLv03,0.1,
DT_ENE032,IT_Money04,0.25,IT_RapidFire02,0.2,PT_ArmorLv04,0.1,PT_EngineLv04,0.1,PT_BeamPartsLv03,0.1,
DT_ENE033,IT_Money04,0.25,IT_Repair02,0.2,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE034,IT_Money04,0.25,IT_PowerUP02,0.2,PT_ArmorLv04,0.1,PT_EngineLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE035,IT_Money04,0.25,IT_RapidFire02,0.2,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE036,IT_Money04,0.25,IT_Repair02,0.2,PT_ArmorLv04,0.1,PT_EngineLv04,0.1,PT_BeamPartsLv03,0.1,
DT_ENE037,IT_Money04,0.25,IT_PowerUP02,0.2,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_BeamPartsLv03,0.1,
DT_ENE038,IT_Money04,0.25,IT_RapidFire02,0.2,PT_ArmorLv04,0.1,PT_EngineLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE039,IT_Money04,0.25,IT_Repair02,0.2,PT_ArmorLv04,0.1,PT_CyberLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE040,IT_Money04,0.25,IT_Repair02,0.2,PT_ArmorLv04,0.1,PT_EngineLv04,0.1,PT_MissilePartsLv02,0.1,
DT_ENE041,IT_Money05,0.25,IT_PowerUP02,0.2,PT_ArmorLv05,0.1,PT_CyberLv05,0.1,PT_BeamPartsLv03,0.1,
DT_ENE042,IT_Money05,0.25,IT_RapidFire02,0.2,PT_ArmorLv05,0.1,PT_EngineLv05,0.1,PT_BeamPartsLv03,0.1,
DT_ENE043,IT_Money05,0.25,IT_Repair02,0.2,PT_ArmorLv05,0.1,PT_CyberLv05,0.1,PT_MissilePartsLv03,0.1,
DT_ENE044,IT_Money05,0.25,IT_PowerUP02,0.2,PT_ArmorLv05,0.1,PT_EngineLv05,0.1,PT_MissilePartsLv03,0.1,
DT_ENE045,IT_Money05,0.25,IT_RapidFire02,0.2,PT_ArmorLv05,0.1,PT_CyberLv05,0.1,PT_MissilePartsLv03,0.1,
DT_ENE046,IT_Money05,0.25,IT_Repair02,0.2,PT_ArmorLv05,0.1,PT_EngineLv05,0.1,PT_BeamPartsLv03,0.1,
DT_ENE047,IT_Money05,0.25,IT_PowerUP02,0.2,PT_ArmorLv05,0.1,PT_CyberLv05,0.1,PT_BeamPartsLv03,0.1,
DT_ENE048,IT_Money05,0.25,IT_RapidFire02,0.2,PT_ArmorLv05,0.1,PT_EngineLv05,0.1,PT_MissilePartsLv02,0.1,
DT_ENE049,IT_Money05,0.25,IT_Repair02,0.2,PT_BeamPartsLv02,0.1,PT_MissilePartsLv02,0.1,PT_LaserPartsLv01,0.1,
DT_ENE050,IT_Money05,0.25,IT_Repair02,0.2,PT_BeamPartsLv03,0.1,PT_MissilePartsLv03,0.1,PT_LaserPartsLv02,0.1,
DT_ENE051,IT_Money06,0.25,IT_PowerUP03,0.2,PT_ArmorLv06,0.1,PT_CyberLv06,0.1,PT_BeamPartsLv03,0.1,
