ID,Name,PrefabName,HP,Defense,ContactDamage,Score,BehaviorID,SpeedMult,Scale,ShotPatternID,DropTableID,Note
A001,A001,ENE001,500,0,10,20,Enemy009,1,20,Empty,DT_ZAKO,TEST
A002,A002,ENE001,10,0,10,2,Enemy001,1,1,Empty,DT_ZAKO,
DEB001,Deburi001,DEB001,10,0,10,20,DebriMove01,1,1,Empty,DT_Debri001,MissionLv01
DEB002,Deburi002,DEB002,22,1,12,20,DebriMove01,1,0.8,Empty,DT_Debri001,MissionLv02
DEB003,Deburi003,DEB003,43,2,14,20,DebriMove01,1,1,Empty,DT_Debri001,MissionLv03
DEB004,Deburi004,DEB004,56,3,16,20,DebriMove02,1,0.8,Empty,DT_Debri001,MissionLv04
DEB005,Deburi005,DEB005,70,4,18,30,DebriMove02,1,1,Empty,DT_Debri001,MissionLv05
DEB006,Deburi006,DEB006,85,5,20,30,DebriMove02,1,1,Empty,DT_Debri002,MissionLv06
DEB007,Deburi007,DEB007,100,7,22,30,DebriMove02,1,1.3,Empty,DT_Debri002,MissionLv07
DEB008,Deburi008,DEB008,120,8,24,30,DebriMove02,1,0.6,Empty,DT_Debri002,MissionLv08
DEB009,Deburi009,DEB009,140,9,25,30,DebriMove02,1,1.15,Empty,DT_Debri002,MissionLv09
DEB010,Deburi010,DEB010,160,10,30,30,DebriMove02,1,1.15,Empty,DT_Debri002,MissionLv10
ENE001,Zako001,ENE004,10,0,10,30,Enemy001,1,12,Empty,DT_ENE001,MissionLv01
ENE002,Zako002,ENE009,11,1,10,33,Enemy002,1,18,Empty,DT_ENE002,MissionLv01
ENE003,Zako003,ENE006,8,3,10,35,Enemy003,1,12,Empty,DT_ENE003,MissionLv01
ENE004,Zako004,ENE002,15,0,10,37,Enemy004,1,10,Empty,DT_ENE004,MissionLv01
ENE005,Zako005,ENE001,12,1,10,38,Enemy005,1,18,Empty,DT_ENE005,MissionLv01
ENE006,Zako006,ENE005,13,2,10,40,Enemy006,1,18,Empty,DT_ENE006,MissionLv01
ENE007,Zako007,ENE008,11,3,10,42,Enemy007,1,15,Empty,DT_ENE007,MissionLv01
ENE008,Zako008,ENE007,17,1,10,45,Enemy008,1,18,Empty,DT_ENE008,MissionLv01
ENE009,Zako009,ENE003,14,2,10,48,Enemy009,1,13,Empty,DT_ENE009,MissionLv01
ENE010,Zako010,ENE010,14,2,15,48,Enemy010,1,13,Empty,DT_ENE010,MissionLv01
ENE011,Zako011,ENE018,30,2,15,60,Enemy001,1,12,Empty,DT_ENE011,MissionLv02
ENE012,Zako012,ENE019,35,3,15,63,Enemy002,1,18,Empty,DT_ENE012,MissionLv02
ENE013,Zako013,ENE012,40,2,15,66,Enemy003,1,12,Empty,DT_ENE013,MissionLv02
ENE014,Zako014,ENE014,38,4,15,70,Enemy004,1,10,Empty,DT_ENE014,MissionLv02
ENE015,Zako015,ENE011,40,2,15,75,Enemy005,1,18,Empty,DT_ENE015,MissionLv02
ENE016,Zako016,ENE015,42,2,15,80,Enemy006,1,18,Empty,DT_ENE016,MissionLv02
ENE017,Zako017,ENE020,45,1,15,83,Enemy007,1,15,Empty,DT_ENE017,MissionLv02
ENE018,Zako018,ENE016,48,2,15,86,Enemy008,1,18,Empty,DT_ENE018,MissionLv02
ENE019,Zako019,ENE017,53,3,15,90,Enemy009,1,13,Empty,DT_ENE019,MissionLv02
ENE020,Zako020,ENE013,60,2,15,100,Enemy009,1,13,Empty,DT_ENE020,MissionLv02
ENE021,Zako031,ENE004,60,3,20,30,Enemy001,1,12,Empty,DT_ENE021,MissionLv03
ENE022,Zako032,ENE009,66,4,20,33,Enemy002,1,18,Empty,DT_ENE022,MissionLv03
ENE023,Zako033,ENE006,48,6,20,35,Enemy003,1,12,Empty,DT_ENE023,MissionLv03
ENE024,Zako034,ENE002,90,3,20,37,Enemy004,1,10,Empty,DT_ENE024,MissionLv03
ENE025,Zako035,ENE001,72,4,20,38,Enemy005,1,18,Empty,DT_ENE025,MissionLv03
ENE026,Zako036,ENE005,78,5,20,40,Enemy006,1,18,Empty,DT_ENE026,MissionLv03
ENE027,Zako037,ENE008,66,6,20,42,Enemy007,1,15,Empty,DT_ENE027,MissionLv03
ENE028,Zako038,ENE007,102,4,20,45,Enemy008,1,18,Empty,DT_ENE028,MissionLv03
ENE029,Zako039,ENE003,84,5,20,48,Enemy009,1,13,Empty,DT_ENE029,MissionLv03
ENE030,Zako030,ENE010,98,5,20,48,Enemy010,1,13,Empty,DT_ENE030,MissionLv03
ENE031,Zako031,ENE018,90,6,25,60,Enemy001,1,12,Empty,DT_ENE031,MissionLv04
ENE032,Zako032,ENE019,105,7,25,63,Enemy002,1,18,Empty,DT_ENE032,MissionLv04
ENE033,Zako033,ENE012,120,6,25,66,Enemy003,1,12,Empty,DT_ENE033,MissionLv04
ENE034,Zako034,ENE014,114,8,25,70,Enemy004,1,10,Empty,DT_ENE034,MissionLv04
ENE035,Zako035,ENE011,120,6,25,75,Enemy005,1,18,Empty,DT_ENE035,MissionLv04
ENE036,Zako036,ENE015,126,6,25,80,Enemy006,1,18,Empty,DT_ENE036,MissionLv04
ENE037,Zako037,ENE020,135,5,25,83,Enemy007,1,15,Empty,DT_ENE037,MissionLv04
ENE038,Zako038,ENE016,144,6,25,86,Enemy008,1,18,Empty,DT_ENE038,MissionLv04
ENE039,Zako039,ENE017,159,7,25,90,Enemy009,1,13,Empty,DT_ENE039,MissionLv04
ENE040,Zako040,ENE013,250,8,25,100,Enemy009,1,13,Empty,DT_ENE040,MissionLv04
ENE041,Zako041,ENE004,180,6,10,30,Enemy001,1,12,Empty,DT_ENE041,MissionLv05
ENE042,Zako042,ENE009,198,7,10,33,Enemy002,1,18,Empty,DT_ENE042,MissionLv05
ENE043,Zako043,ENE006,144,9,10,35,Enemy003,1,12,Empty,DT_ENE043,MissionLv05
ENE044,Zako044,ENE002,270,6,10,37,Enemy004,1,10,Empty,DT_ENE044,MissionLv05
ENE045,Zako045,ENE001,216,7,10,38,Enemy005,1,18,Empty,DT_ENE045,MissionLv05
ENE046,Zako046,ENE005,234,8,10,40,Enemy006,1,18,Empty,DT_ENE046,MissionLv05
ENE047,Zako047,ENE008,198,9,10,42,Enemy007,1,15,Empty,DT_ENE047,MissionLv05
ENE048,Zako048,ENE007,306,7,10,45,Enemy008,1,18,Empty,DT_ENE048,MissionLv05
ENE049,Zako049,ENE003,252,8,10,48,Enemy009,1,13,Empty,DT_ENE049,MissionLv05
ENE050,Zako050,ENE010,294,8,15,48,Enemy010,1,13,Empty,DT_ENE050,MissionLv05
ENE051,Zako051,ENE018,220,10,15,60,Enemy001,1,12,Empty,DT_ENE051,MissionLv06
ENE052,Zako052,ENE019,250,12,15,63,Enemy002,1,18,Empty,DT_ENE052,MissionLv06
ENE053,Zako053,ENE012,320,7,15,66,Enemy003,1,12,Empty,DT_ENE053,MissionLv06
ENE054,Zako054,ENE014,280,12,15,70,Enemy004,1,10,Empty,DT_ENE054,MissionLv06
ENE055,Zako055,ENE011,260,11,15,75,Enemy005,1,18,Empty,DT_ENE055,MissionLv06
ENE056,Zako056,ENE015,280,10,15,80,Enemy006,1,18,Empty,DT_ENE056,MissionLv06
ENE057,Zako057,ENE020,320,10,15,83,Enemy007,1,15,Empty,DT_ENE057,MissionLv06
ENE058,Zako058,ENE016,280,10,15,86,Enemy008,1,18,Empty,DT_ENE058,MissionLv06
ENE059,Zako059,ENE017,300,12,15,90,Enemy009,1,13,Empty,DT_ENE059,MissionLv06
ENE060,Zako060,ENE013,400,12,15,100,Enemy009,1,13,Empty,DT_ENE060,MissionLv06
ENE061,Zako061,ENE004,360,10,10,30,Enemy001,1,12,Empty,DT_ENE061,MissionLv07
ENE062,Zako062,ENE009,420,10,10,33,Enemy002,1,18,Empty,DT_ENE062,MissionLv07
ENE063,Zako063,ENE006,440,12,10,35,Enemy003,1,12,Empty,DT_ENE063,MissionLv07
ENE064,Zako064,ENE002,520,12,10,37,Enemy004,1,10,Empty,DT_ENE064,MissionLv07
ENE065,Zako065,ENE001,300,20,10,38,Enemy005,1,18,Empty,DT_ENE065,MissionLv07
ENE066,Zako066,ENE005,360,15,10,40,Enemy006,1,18,Empty,DT_ENE066,MissionLv07
