ID,Name,Category,ShapeCells,Note,UnlockCost,UnlockItemID_1,UnlockItemQty_1,UnlockItemID_2,UnlockItemQty_2,UnlockItemID_3,UnlockItemQty_3
EQ01_BeamGun,BeamGun,Weapon,00;10;,P01_BeamGun,0,,,,,,
EQ02_W-BeamGun,W-BeamGun,Weapon,00;10;20;,P02_WBeamgun,3000,PT_BeamPartsLv01,5,PT_ArmorLv01,10,,
EQ03_3Way-BeamGun,3Way-BeamGun,Weapon,00;10;01;,P03_3WayBGun,10000,PT_BeamPartsLv02,8,PT_ArmorLv02,15,,
EQ04_5thShot,5thShot,Weapon,00;10;01;20;,P04_5thShot,25000,PT_BeamPartsLv03,10,PT_ArmorLv05,25,,
EQ05_7thShot,7thShot,Weapon,00;10;20;11;01;,P05_7thShot,70000,PT_BeamPartsLv04,20,PT_ArmorLv07,25,,
EQ06_RapidFire,RapidFire,Weapon,00;01;,,5000,PT_BeamPartsLv01,4,PT_ArmorLv02,15,,
EQ07_Over-Stream,Over-Stream,Weapon,00;10;11;01;,,15000,PT_BeamPartsLv02,20,PT_ArmorLv02,20,,
EQ08_HeavyShot,HeavyShot,Weapon,00;10;20;,,7000,PT_BeamPartsLv02,10,PT_ArmorLv02,15,,
EQ09_Crush-Cores,Crush-Cores,Weapon,00;10;20;21;11;01;,,20000,PT_BeamPartsLv03,15,PT_ArmorLv04,20,,
EQ10_SideGun,SideGun,Weapon,00;10;,,1500,PT_BeamPartsLv01,6,PT_ArmorLv01,12,,
EQ11_SideCannon,SideCannon,Weapon,00;01;11;,,6000,PT_BeamPartsLv01,30,PT_ArmorLv03,15,,
EQ12_Sovereign,Sovereign,Weapon,00;01;02;03;13;,,30000,PT_BeamPartsLv02,15,PT_ArmorLv04,15,,
EQ13_DiffusionBeam,DiffusionBeam,Weapon,00;01;,,100000,PT_BeamPartsLv03,25,PT_ArmorLv06,20,,
EQ14_ScrewBeam,ScrewBeam,Weapon,00;10;20;21;,,40000,PT_BeamPartsLv03,15,PT_ArmorLv06,20,,
EQ15_DistortionBeam,DistortionBeam,Weapon,00;10;11;21;20;30;,,120000,PT_BeamPartsLv04,25,PT_ArmorLv08,20,,
EQ16_HyperionFlux,HyperionFlux,Weapon,00;10;01;02;12;11;22;21;20;,,200000,PT_BeamPartsLv05,15,PT_ArmorLv10,15,,
EQ21_Missile,Missile,Weapon,00;01;,Missle,2000,PT_MissilePartsLv01,3,PT_EngineLv01,20,,
EQ22_RapidMissile,RapidMissile,Weapon,00;11;10;20;,L字型(1x2+1),7000,PT_MissilePartsLv01,12,PT_EngineLv03,20,,
EQ23_HeavyMissile,HeavyMissile,Weapon,00;11;10;20;21;,L字型(1x2+1),15000,PT_MissilePartsLv02,8,PT_EngineLv04,20,,
EQ24_HormingMissile,HormingMissile,Weapon,00;10;20;21;22;,HormingMissile,30000,PT_MissilePartsLv03,10,PT_EngineLv05,20,,
EQ25_Swarm Salvo,Swarm Salvo,Weapon,00;01;02;03;13;12;,L字型(1x2+1),25000,PT_MissilePartsLv03,15,PT_EngineLv06,20,,
EQ26_FatalLock-On,FatalLock-On,Weapon,00;01;11;21;20;30;10;,L字型(1x2+1),100000,PT_MissilePartsLv04,17,PT_EngineLv08,20,,
EQ27_BunkerBuster,BunkerBuster,Weapon,00;01;02;12;22;21;10;20;,L字型(1x2+1),220000,PT_MissilePartsLv05,23,PT_EngineLv10,20,,
EQ31_LaserCannon,LaserCannon,Weapon,00;10;20;30;,T字型(1x3+1),20000,PT_LaserPartsLv01,10,PT_CyberLv02,20,,
EQ32_SolarLay,SolarLay,Weapon,00;10;11;20;30;,T字型(1x3+1),50000,PT_LaserPartsLv02,13,PT_CyberLv05,20,,
EQ33_BusterLance,BusterLance,Weapon,00;10;21;31;30;20;,T字型(1x3+1),120000,PT_LaserPartsLv03,18,PT_CyberLv06,20,,
EQ34_AetherSlicer,AetherSlicer,Weapon,00;10;01;02;03;04;05;,T字型(1x3+1),250000,PT_LaserPartsLv04,22,PT_CyberLv08,30,,
EQ35_Ouroboros,Ouroboros,Weapon,00;10;11;22;21;20;30;31;32;33;,T字型(1x3+1),500000,PT_LaserPartsLv05,15,PT_CyberLv10,20,,
EQ41_ShockWave,ShockWave,Weapon,00;10;11;20;12;,,80000,PT_ShockwavePartsLv01,10,PT_CyberLv02,20,,
EQ42_DistortionSurge,DistortionSurge,Weapon,00;10;11;12;22;21;20;30;,,250000,PT_ShockwavePartsLv02,15,PT_CyberLv06,20,,
EQ43_GravitonNova,GravitonNova,Weapon,00;10;21;11;31;41;40;50;22;32;,,700000,PT_ShockwavePartsLv03,20,PT_CyberLv09,20,,
EQ51_SweapBlade,SweapBlade,Weapon,00;01;03;02;,,35000,PT_RingBladePartsLv01,8,PT_CyberLv01,20,,
EQ52_OrbitCutter,OrbitCutter,Weapon,00;01;11;10;20;30;,,150000,PT_RingBladePartsLv02,13,PT_CyberLv06,20,,
EQ53_ThermalCleaver,ThermalCleaver,Weapon,00;01;10;11;21;31;30;40;41;,,350000,PT_RingBladePartsLv03,18,PT_CyberLv08,20,,
EQ54_DeathScythe,DeathScythe,Weapon,00;01;10;11;20;30;40;50;60;70;71;61;,,650000,PT_RingBladePartsLv04,20,PT_CyberLv10,25,,
EQ61_BuffAmpDeviceS,BuffAmpDeviceS,Armor,00;,ミッション中に取得するバフアイテムの効果量を増幅する,2000,PT_ArmorLv01,25,,,,
EQ62_BuffAmpDeviceM,BuffAmpDeviceM,Armor,00;10;,ミッション中に取得するバフアイテムの効果量を増幅する,12000,PT_ArmorLv04,30,PT_ArmorLv03,20,,
EQ63_BuffAmpDeviceL,BuffAmpDeviceL,Armor,00;01;11;10;,ミッション中に取得するバフアイテムの効果量を増幅する,50000,PT_ArmorLv07,40,PT_ArmorLv06,25,PT_ArmorLv05,35
EQ64_HealAmpDeviceS,HealAmpDeviceS,Armor,00;,ミッション中に取得する回復アイテムの効果量を増幅する,5000,PT_ArmorLv02,20,,,,
EQ65_HealAmpDeviceM,HealAmpDeviceM,Armor,00;11;10;,ミッション中に取得する回復アイテムの効果量を増幅する,25000,PT_ArmorLv05,40,PT_ArmorLv04,30,,
EQ66_HealAmpDeviceL,HealAmpDeviceL,Armor,00;10;20;21;,ミッション中に取得する回復アイテムの効果量を増幅する,100000,PT_ArmorLv09,35,PT_ArmorLv08,25,PT_ArmorLv07,35
EQ67_EQ_ArmorPlateS,ArmorPlateS,Armor,00;,装備で最大HPに倍率を掛ける,8000,PT_ArmorLv02,28,,,,
EQ68_EQ_ArmorPlateM,ArmorPlateM,Armor,00;01;10;20;,装備で最大HPに倍率を掛ける,40000,PT_ArmorLv07,32,PT_ArmorLv06,28,PT_ArmorLv04,40
EQ69_EQ_ArmorPlateL,ArmorPlateL,Armor,00;01;02;11;21;,装備で最大HPに倍率を掛ける,150000,PT_ArmorLv10,35,PT_ArmorLv09,30,PT_ArmorLv08,45
EQ70_SpeedBrekerS,SpeedBrekerS,Armor,00;,装備で最高速度(SP)に倍率を掛ける,10000,PT_EngineLv01,30,,,,
