Tier,UnlockCost,UnlockItemID_1,UnlockItemQty_1,UnlockItemID_2,UnlockItemQty_2,UnlockItemID_3,UnlockItemQty_3,Note
1,2000,,,,,,,
2,5000,,,,,,,
3,8000,,,,,,,
4,15000,,,,,,,
5,22000,PT_ArmorLv01,5,PT_CyberLv01,5,PT_EngineLv01,5,
6,30000,PT_ArmorLv01,15,PT_CyberLv01,15,PT_EngineLv01,15,
7,42000,PT_ArmorLv02,10,PT_CyberLv02,10,PT_EngineLv02,10,
8,56000,PT_ArmorLv02,20,PT_CyberLv02,20,PT_EngineLv02,20,
9,75000,PT_ArmorLv03,15,PT_CyberLv03,15,PT_EngineLv03,15,
10,95000,PT_ArmorLv03,30,PT_CyberLv03,30,PT_EngineLv03,30,
11,120000,PT_ArmorLv04,20,PT_CyberLv04,20,PT_EngineLv04,20,
12,145000,PT_ArmorLv04,25,PT_CyberLv04,25,PT_EngineLv04,25,
13,173000,PT_ArmorLv05,25,PT_CyberLv05,25,PT_EngineLv05,25,
14,200000,PT_ArmorLv05,30,PT_CyberLv05,30,PT_EngineLv05,30,
15,225000,PT_ArmorLv06,25,PT_CyberLv06,25,PT_EngineLv06,25,
16,255000,PT_ArmorLv06,30,PT_CyberLv06,30,PT_EngineLv06,30,
17,290000,PT_ArmorLv06,35,PT_CyberLv06,35,PT_EngineLv06,35,
18,330000,PT_ArmorLv07,30,PT_CyberLv07,30,PT_EngineLv07,30,
19,375000,PT_ArmorLv07,40,PT_CyberLv07,40,PT_EngineLv07,40,
20,425000,PT_ArmorLv07,50,PT_CyberLv07,50,PT_EngineLv07,50,
