ID,Name,PrefabName,Type,EffectType,EffectValue,Duration,Min,Max,Weight,SellPrice,Note
IT_Money01,Money01,IT_Money01,Score,Credit,50,0,1,1,10,0,クレジット
IT_Money02,Money02,IT_Money02,Score,Credit,100,0,1,1,10,0,クレジット
IT_Money03,Money03,IT_Money03,Score,Credit,200,0,1,1,10,0,クレジット
IT_Money04,Money04,IT_Money04,Score,Credit,350,0,1,1,10,0,クレジット
IT_Money05,Money05,IT_Money05,Score,Credit,500,0,1,1,10,0,クレジット
IT_Money06,Money06,IT_Money06,Score,Credit,800,0,1,1,10,0,クレジット
IT_Money07,Money07,IT_Money07,Score,Credit,1000,0,1,1,10,0,クレジット
IT_Money08,Money08,IT_Money08,Score,Credit,2000,0,1,1,10,0,クレジット
IT_Money09,Money09,IT_Money09,Score,Credit,3000,0,1,1,10,0,クレジット
IT_Money10,Money10,IT_Money10,Score,Credit,5000,0,1,1,10,0,クレジット
IT_PowerUP01,PowerUp01,IT_PowerUP01,PowerUp,PowerUp,0.2,5,1,1,10,0,攻撃力アップ
IT_PowerUP02,PowerUp02,IT_PowerUP02,PowerUp,PowerUp,0.2,10,1,1,10,0,攻撃力アップ
IT_PowerUP03,PowerUp03,IT_PowerUP03,PowerUp,PowerUp,0.3,10,1,1,10,0,攻撃力アップ
IT_PowerUP04,PowerUp04,IT_PowerUP04,PowerUp,PowerUp,0.3,15,1,1,10,0,攻撃力アップ
IT_PowerUP05,PowerUp05,IT_PowerUP05,PowerUp,PowerUp,0.3,20,1,1,10,0,攻撃力アップ
IT_RapidFire01,RapidFire01,IT_RapidFire01,PowerUp,RapidFire,0.15,10,1,1,10,0,連射スピードアップ
IT_RapidFire02,RapidFire02,IT_RapidFire02,PowerUp,RapidFire,0.15,15,1,1,10,0,連射スピードアップ
IT_RapidFire03,RapidFire03,IT_RapidFire03,PowerUp,RapidFire,0.2,10,1,1,10,0,連射スピードアップ
IT_RapidFire04,RapidFire04,IT_RapidFire04,PowerUp,RapidFire,0.2,15,1,1,10,0,連射スピードアップ
IT_RapidFire05,RapidFire05,IT_RapidFire05,PowerUp,RapidFire,0.25,10,1,1,10,0,連射スピードアップ
