Lv,ModCountMin,TableCount,SpawnTableID_1,SpawnTableID_2,SpawnTableID_3,SpawnTableID_4,SpawnTableID_5,SpawnTableID_6,SpawnTableID_7,SpawnTableID_8,Note
1,0,3,STLv01_01,STLv01_02,STLv01_03,None,None,None,None,None,初期値(仮)
1,2,3,STLv01_01,STLv01_02,STLv01_03,STLv01_04,None,None,None,None,
1,3,3,STLv01_01,STLv01_02,STLv01_03,STLv01_04,STLv01_05,None,None,None,
1,4,3,STLv01_01,STLv01_03,STLv01_04,STLv01_05,None,None,None,None,
1,5,4,STLv01_01,STLv01_03,STLv01_04,STLv01_05,STLv01_06,None,None,None,
1,6,4,STLv01_01,STLv01_04,STLv01_05,STLv01_06,None,None,None,None,
1,7,4,STLv01_01,STLv01_04,STLv01_05,STLv01_06,STLv01_07,None,None,None,
1,8,4,STLv01_04,STLv01_05,STLv01_06,STLv01_07,STLv01_08,None,None,None,
1,9,5,STLv01_05,STLv01_06,STLv01_07,STLv01_08,STLv01_09,STLv01_10,None,None,
2,10,5,STLv02_01,STLv01_08,STLv01_09,STLv01_10,None,None,None,None,
2,12,5,STLv02_01,STLv02_02,STLv01_08,STLv01_09,STLv01_10,None,None,None,
2,14,5,STLv02_01,STLv02_02,STLv02_03,STLv01_08,STLv01_09,STLv01_10,None,None,
2,16,6,STLv02_01,STLv02_02,STLv02_03,STLv02_04,STLv01_05,STLv01_06,None,None,
2,18,6,STLv02_02,STLv02_03,STLv02_04,STLv02_05,STLv01_07,STLv01_08,None,None,
2,20,6,STLv02_03,STLv02_04,STLv02_05,STLv02_06,STLv01_09,STLv01_10,None,None,
2,22,6,STLv02_02,STLv02_03,STLv02_04,STLv02_05,STLv02_06,None,None,None,
2,24,7,STLv02_03,STLv02_04,STLv02_05,STLv02_06,STLv02_07,STLv02_08,None,None,
2,26,7,STLv02_04,STLv02_05,STLv02_06,STLv02_07,STLv02_08,STLv02_09,None,None,
2,28,7,STLv02_05,STLv02_06,STLv02_07,STLv02_08,STLv02_09,STLv02_10,None,None,
3,30,7,STLv03_01,STLv02_07,STLv02_08,STLv02_09,STLv02_10,None,None,None,
3,33,8,STLv03_01,STLv03_02,STLv02_07,STLv02_08,STLv02_09,STLv02_10,None,None,
3,36,8,STLv03_01,STLv03_02,STLv03_03,STLv02_07,STLv02_08,STLv02_09,STLv02_10,None,
3,39,8,STLv03_01,STLv03_02,STLv03_03,STLv03_04,STLv02_08,STLv02_09,STLv02_10,None,
3,42,8,STLv03_02,STLv03_03,STLv03_04,STLv03_05,STLv02_05,STLv02_06,None,None,
3,45,9,STLv03_02,STLv03_03,STLv03_04,STLv03_05,STLv02_07,STLv02_08,None,None,
3,48,9,STLv03_03,STLv03_04,STLv03_05,STLv03_06,STLv02_09,STLv02_10,None,None,
3,51,9,STLv03_04,STLv03_05,STLv03_06,STLv03_07,STLv03_08,STLv02_08,None,None,
3,54,9,STLv03_05,STLv03_06,STLv03_07,STLv03_08,STLv03_09,STLv02_09,None,None,
3,57,10,STLv03_05,STLv03_06,STLv03_07,STLv03_08,STLv03_09,STLv03_10,STLv02_10,None,
4,60,10,STLv04_01,STLv03_07,STLv03_08,STLv03_09,STLv03_10,None,None,None,
4,64,10,STLv04_01,STLv04_02,STLv03_07,STLv03_08,STLv03_09,STLv03_10,None,None,
4,68,10,STLv04_01,STLv04_02,STLv04_03,STLv03_07,STLv03_08,STLv03_09,STLv03_10,None,
4,72,10,STLv04_01,STLv04_02,STLv04_03,STLv04_04,STLv03_07,STLv03_08,STLv03_09,STLv03_10,
4,76,11,STLv04_01,STLv04_02,STLv04_03,STLv04_04,STLv04_05,STLv03_08,STLv03_09,STLv03_10,
4,80,11,STLv04_02,STLv04_03,STLv04_04,STLv04_05,STLv04_06,STLv03_05,STLv03_06,None,
4,84,11,STLv04_03,STLv04_04,STLv04_05,STLv04_06,STLv04_07,STLv03_07,STLv03_08,None,
4,88,11,STLv04_04,STLv04_05,STLv04_06,STLv04_07,STLv04_08,STLv03_09,STLv03_10,None,
4,92,11,STLv04_04,STLv04_05,STLv04_06,STLv04_07,STLv04_08,STLv04_09,None,None,
4,96,12,STLv04_05,STLv04_06,STLv04_07,STLv04_08,STLv04_09,STLv04_10,None,None,
5,100,12,STLv05_01,STLv04_07,STLv04_08,STLv04_09,STLv04_10,STLv02_09,STLv02_10,None,
5,105,12,STLv05_01,STLv05_02,STLv04_07,STLv04_08,STLv04_09,STLv04_10,STLv02_10,STLv03_10,
