ID,Path,Volume,Cooldown,Limit,Priority
buy,"sounds/SE/buy",1,0.1,5,0
click,"sounds/SE/click",1,0.05,3,0
collect,"sounds/SE/collect",1,0.05,5,0
error,"sounds/SE/error",1,0.1,2,0
exploson01,"sounds/SE/explosion",1,0.1,8,0
shoothit01,"sounds/SE/hit",1,0.02,15,0
contactdamage,"sounds/SE/SE_ContactDamage",1,0.05,5,0
coin01,"sounds/SE/SE_Credit",1,0.05,5,0
itemget01,"sounds/SE/itemget01",1,0.05,5,0
missile01,"sounds/SE/missile",1,0.1,5,0
powerup01,"sounds/SE/powerup01",1,0.1,2,0
shoot01,"sounds/SE/shoot",0.7,0.02,4,0
upgrade,"sounds/SE/upgrade",1,0.1,2,0
result_listup,"sounds/SE/Result_listup",1,0.02,1,1
result_count,"sounds/SE/Result_count",1,0.02,1,1
bgm_outgame01,"sounds/BGM/Shooter_OutgameA",0.5,1,1,1
bgm_ingame01,"sounds/BGM/Shooter_IngameA",0.5,1,1,1
bgm_ingame02,"sounds/BGM/Shooter_IngameB",0.5,1,1,1
SE_EShotBullet01,"sounds/SE/SE_EShotBullet01",1,0.33,2,1
SE_EShotSpread01,"sounds/SE/SE_EShotSpread01",1,0.33,4,1
SE_HeavyShoot,"sounds/SE/SE_HeavyShoot",0.4,0.1,4,1
SE_WaveBeam,"sounds/SE/SE_WaveBeam",0.4,0.1,4,1
SE_ScrewBeam,"sounds/SE/SE_ScrewBeam",0.4,0.1,4,1
SE_DistortionBeam,"sounds/SE/SE_DistortionBeam",0.6,0.1,4,1
SE_PMissile,"sounds/SE/SE_PMissile",1.2,1,4,1
SE_PLaserBeam01,"sounds/SE/SE_PLaserBeam01",0.5,2,1,1
SE_SweapBlade01,"sounds/SE/SE_SweapBlade01",0.45,0.2,8,1
