ID,Lv,SubLv,Dist,Min,Max,Lot,Cycle,TypeID_1,TypeID_2,TypeID_3,TypeID_4,TypeID_5,TypeID_6,TypeID_7,TypeID_8,TypeID_9,TypeID_10,TypeID_11,TypeID_12,Note
STLv01_01,1,1,60,6,8,One,Slow,DEB001,None,None,None,None,None,None,None,None,None,None,None,
STLv01_02,1,2,60,6,8,One,Slow,DEB001,ENE001,None,None,None,None,None,None,None,None,None,None,
STLv01_03,1,3,60,6,8,One,Slow,DEB001,ENE001,ENE002,None,None,None,None,None,None,None,None,None,
STLv01_04,1,4,60,6,8,Two,Slow,DEB001,ENE001,ENE002,ENE003,None,None,None,None,None,None,None,None,
STLv01_05,1,5,60,6,8,Two,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,None,None,None,None,None,None,None,
STLv01_06,1,6,80,8,10,Random,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,ENE005,None,None,None,None,None,None,
STLv01_07,1,7,80,8,10,Random,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,ENE005,ENE006,None,None,None,None,None,
STLv01_08,1,8,80,8,10,One,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,ENE005,ENE006,ENE007,None,None,None,None,
STLv01_09,1,9,80,8,10,Two,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,ENE005,ENE006,ENE007,ENE008,None,None,None,
STLv01_10,1,10,80,8,10,Random,Slow,DEB001,ENE001,ENE002,ENE003,ENE004,ENE005,ENE006,ENE007,ENE008,ENE009,None,None,
STLv02_01,2,1,80,8,10,One,Slow,DEB002,DEB001,ENE011,ENE003,ENE004,None,None,None,None,None,None,None,
STLv02_02,2,2,80,8,10,Two,Slow,DEB002,DEB001,ENE011,ENE004,ENE005,None,None,None,None,None,None,None,
STLv02_03,2,3,80,8,10,Random,Slow,DEB002,DEB001,ENE011,ENE005,ENE012,ENE006,None,None,None,None,None,None,
STLv02_04,2,4,80,8,10,One,Slow,DEB002,DEB001,ENE011,ENE006,ENE012,ENE007,None,None,None,None,None,None,
STLv02_05,2,5,80,8,10,Two,Slow,DEB002,DEB001,ENE011,ENE007,ENE012,ENE013,ENE008,None,None,None,None,None,
STLv02_06,2,6,90,8,10,Random,Slow,DEB002,ENE010,ENE014,ENE015,ENE008,ENE009,None,None,None,None,None,None,
STLv02_07,2,7,90,9,11,One,Slow,DEB002,ENE010,ENE014,ENE015,ENE016,ENE009,ENE003,None,None,None,None,None,
STLv02_08,2,8,90,9,11,Two,Slow,DEB002,ENE010,ENE014,ENE015,ENE016,ENE017,ENE009,ENE004,None,None,None,None,
STLv02_09,2,9,90,9,12,Random,Slow,DEB002,ENE005,ENE009,ENE010,ENE014,ENE015,ENE016,ENE017,ENE018,None,None,None,
STLv02_10,2,10,90,9,12,Random,Slow,DEB002,DEB001,ENE006,ENE009,ENE010,ENE016,ENE017,ENE018,ENE019,ENE020,None,None,
STLv03_01,3,1,90,9,12,One,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_02,3,2,90,9,13,Two,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_03,3,3,90,9,13,Random,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_04,3,4,90,9,14,One,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_05,3,5,100,10,14,Two,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
STLv03_06,3,6,100,10,14,Random,Slow,DEB003,None,None,None,None,None,None,None,None,None,None,None,
