ID,Name,ShotPatternID,Group,Weight,StarValue,Type,Penetrate,Category,IsHoming,CountMin,CountMax,SPMin,SPMax,DmgMin,DmgMax,ScaleMin,ScaleMax,WTMin,WTMax,GrowthType,MaxLv,Note
WPN_BeamGun,BeamGun,P01_BeamGun,1,120,2,Fire,0,A,0,1,1,16,24,10,25,1,1,0.2,0.15,標準,10,
WPN_WBeamGun,W-BeamGun,P02_WBeamgun,1,150,3,Fire,0,A,0,2,2,16,24,15,37.5,1,1,0.3,0.225,標準,10,
WPN_3WayBGun,3Way-BeamGun,P03_3WayBGun,1,180,4,Fire,0,A,0,3,3,18,27,8,20,1,1,0.34,0.255,標準,10,
WPN_5thShot,5thShot,P04_5thShot,1,220,5,Fire,0,A,0,5,5,16,24,12,30,1,1,0.36,0.27,標準,10,
WPN_7thShot,7thShot,P05_7thShot,1,250,6,Fire,0,A,0,7,7,16,24,14,35,1,1,0.4,0.3,標準,10,
WPN_RapidFire,RapidFire,P06_RapidFire,1,80,3,Fire,0,B,0,1,1,20,30,8,20,1,1,0.15,0.1125,標準,10,
WPN_OverStream,Over-Stream,P07_Over-Stream,1,150,5,Fire,0,B,0,1,1,24,36,7,17.5,1,1,0.12,0.09,標準,10,
WPN_HeavyShot,HeavyShot,P08_HeavyShot,1,180,4,Fire,0,C,0,1,1,12,18,20,50,1,1,0.35,0.2625,標準,10,
WPN_CrushCores,Crush-Cores,P09_Crush-Cores,1,300,7,Fire,0,C,0,1,1,10,15,40,100,1,1,0.36,0.27,標準,10,
WPN_SideGun,SideGun,P10_SideGun,2,60,2,Fire,0,D,0,2,2,14,21,8,20,1,1,0.25,0.1875,標準,10,
WPN_SideCannon,SideCannon,P11_SideCannon,2,120,4,Fire,0,D,0,2,2,14,21,15,37.5,1,1,0.3,0.225,標準,10,
WPN_Sovereign,Sovereign,P12_Sovereign,2,180,6,Fire,0,E,0,6,6,12,18,14,35,1,1,0.35,0.2625,標準,10,
WPN_DiffusionBeam,DiffusionBeam,P13_DiffusionBeam,1,220,3,Wide,1,F,0,1,1,18,27,15,37.5,1,1,0.26,0.195,標準,10,Wideの仕組みは別途記述
WPN_ScrewBeam,ScrewBeam,P14_ScrewBeam,1,160,5,Fire,1,G,0,1,1,18,27,20,50,1,1,0.25,0.1875,標準,10,
WPN_DistortionBeam,DistortionBeam,P15_DistortionBeam,1,180,7,Fire,1,G,0,1,1,18,27,25,62.5,1,1,0.22,0.165,標準,10,
WPN_HyperionFlux,HyperionFlux,P16_HyperionFlux,1,350,9,Fire,0,A,0,1,1,22,33,32,80,1,1,0.15,0.1125,標準,10,
WPN_Missile,Missile,P21_Missile,3,160,2,Missile,0,H,0,2,4,12,18,20,50,1,1,2,1.5,標準,10,
WPN_RapidMissile,RapidMissile,P22_RMissile,3,150,4,Missile,0,H,0,2,4,20,30,16,40,1,1,1.4,1.05,標準,10,
WPN_HeavyMissile,HeavyMissile,P23_HeavyMissile,3,220,5,Missile,0,H,0,2,4,15,22.5,32,80,1,1.5,2.3,1.725,標準,10,
WPN_HormingMissile,HormingMissile,P24_HormingMissile,3,190,5,Missile,0,H,1,2,4,18,27,18,45,1,1,2.2,1.65,標準,10,
WPN_SwarmSalvo,Swarm Salvo,P25_Swarm Salvo,3,250,6,Missile,0,H,1,6,12,22,33,14,35,1,1,1.8,1.35,標準,10,
WPN_FatalLockOn,FatalLock-On,P26_FatalLock-On,3,280,7,Missile,0,H,1,4,8,22,33,35,87.5,1,1,2,1.5,標準,10,
WPN_BunkerBuster,BunkerBuster,P27_BunkerBuster,3,350,8,Missile,1,H,0,2,4,22,33,50,125,1,1,2.2,1.65,標準,10,
WPN_LaserCannon,LaserCannon,P31_LaserCannon,4,220,4,Laser,1,I,0,1,1,50,75,15,37.5,1,2,5,3.75,標準,10,Laserの仕組みは別途記述
